district;rooms;area_m2;lift;prices
Sant Martí;3;79;Yes;310000
Eixample;2;120;Yes;415000
Eixample;3;75;Yes;265000
Sants-Montjuïc;3;71;Yes;232000
Eixample;7;157;Yes;530000
Eixample;2;71;Yes;299000
Eixample;4;158;Yes;530000
Sants-Montjuïc;3;87;Yes;360000
Sarrià-Sant Gervasi;5;217;Yes;990000
Sant Martí;3;63;Yes;230000
Gràcia;1;52;No;195000
Sarrià-Sant Gervasi;2;62;No;275000
Sarrià-Sant Gervasi;5;130;Yes;495000
Eixample;4;99;Yes;700000
Eixample;3;77;Yes;440000
Sarrià-Sant Gervasi;4;113;Yes;395000
Eixample;6;185;Yes;850000
Horta-Guinardó;4;98;Yes;240000
Eixample;5;161;Yes;1150000
Sant Andreu;3;65;Yes;180000
Sant Andreu;3;94;Yes;240000
Sant Martí;3;73;Yes;185000
Sant Andreu;3;65;Yes;215000
Sant Andreu;4;85;Yes;240000
Eixample;4;148;Yes;389000
Gràcia;8;420;No;1050000
Sants-Montjuïc;2;55;No;150000
Ciutat Vella;2;79;Yes;285000
Les Corts;1;29;Yes;245000
Sarrià-Sant Gervasi;3;95;Yes;525000
Eixample;8;260;Yes;950000
Gràcia;3;79;Yes;268600
Sant Andreu;3;65;No;169000
Sants-Montjuïc;4;77;Yes;295000
Eixample;3;81;Yes;265000
Ciutat Vella;2;95;Yes;306000
Eixample;3;70;Yes;340000
Eixample;5;159;Yes;680000
Les Corts;5;177;Yes;830000
Eixample;3;82;Yes;318000
Sarrià-Sant Gervasi;4;173;Yes;795000
Sants-Montjuïc;1;42;No;135000
Eixample;5;160;Yes;560000
Sants-Montjuïc;4;110;Yes;360000
Sants-Montjuïc;3;65;Yes;175000
Horta-Guinardó;3;128;No;530000
Sant Martí;1;64;Yes;400000
Sant Andreu;3;66;Yes;215000
Les Corts;4;147;Yes;675000
Les Corts;4;180;Yes;1100000
Gràcia;1;62;No;215000
Sarrià-Sant Gervasi;4;128;Yes;585000
Eixample;3;66;Yes;295000
Ciutat Vella;2;51;Yes;200000
Eixample;5;109;No;480000
Eixample;2;75;Yes;299000
Sants-Montjuïc;3;140;Yes;640000
Sant Andreu;3;66;Yes;199000
Les Corts;4;157;Yes;1100000
Sarrià-Sant Gervasi;5;273;Yes;1190000
Horta-Guinardó;4;119;Yes;390000
Sant Martí;3;71;Yes;172000
Sarrià-Sant Gervasi;6;243;Yes;925000
Sarrià-Sant Gervasi;5;320;Yes;1385000
Sant Martí;4;150;Yes;219900
Nou Barris;2;70;No;120000
Horta-Guinardó;3;80;Yes;265000
Eixample;3;84;Yes;280000
Eixample;2;56;No;279000
Sarrià-Sant Gervasi;6;250;Yes;950000
Sant Andreu;3;82;Yes;228000
Sant Andreu;3;82;Yes;228000
Sants-Montjuïc;3;136;Yes;299000
Eixample;3;133;Yes;485000
Eixample;6;175;Yes;730000
Sarrià-Sant Gervasi;5;167;Yes;750000
Sarrià-Sant Gervasi;5;270;Yes;1300000
Sarrià-Sant Gervasi;3;125;No;499000
Ciutat Vella;1;36;No;200000
Gràcia;4;137;Yes;497000
Sants-Montjuïc;3;86;Yes;155000
Horta-Guinardó;2;52;No;165000
Sarrià-Sant Gervasi;5;148;Yes;695000
Nou Barris;3;60;No;142000
Sant Martí;2;61;Yes;159900
Sarrià-Sant Gervasi;3;170;No;695000
Sant Andreu;3;82;Yes;228000
Eixample;2;66;Yes;265000
Sants-Montjuïc;4;100;Yes;345000
Sant Martí;3;63;Yes;230000
Horta-Guinardó;3;75;No;145000
Gràcia;4;118;Yes;410000
Horta-Guinardó;4;77;Yes;249000
Eixample;4;114;Yes;429000
Nou Barris;2;60;No;69000
Eixample;4;109;Yes;475000
Eixample;5;146;Yes;670000
Sant Martí;3;84;Yes;299000
Sarrià-Sant Gervasi;4;165;Yes;650000
Sarrià-Sant Gervasi;3;134;Yes;660000
Sants-Montjuïc;3;70;Yes;219000
Eixample;3;114;Yes;720000
Ciutat Vella;1;38;No;109000
Eixample;2;103;Yes;535000
Les Corts;5;274;Yes;2000000
Les Corts;3;103;Yes;680000
Eixample;3;118;Yes;615000
Sarrià-Sant Gervasi;3;103;Yes;680000
Ciutat Vella;3;110;Yes;390000
Horta-Guinardó;3;68;No;132000
Eixample;4;82;Yes;280000
Les Corts;3;110;Yes;450000
Gràcia;3;88;Yes;350000
Ciutat Vella;2;44;No;120000
Sants-Montjuïc;3;67;Yes;380000
Horta-Guinardó;4;160;Yes;400000
Sants-Montjuïc;3;94;Yes;280000
Sant Martí;3;120;Yes;370000
Eixample;3;108;Yes;409000
Sarrià-Sant Gervasi;2;97;Yes;390000
Sant Martí;3;131;Yes;595000
Les Corts;2;63;Yes;385000
Sant Martí;4;102;Yes;265000
Eixample;4;91;Yes;370000
Sarrià-Sant Gervasi;6;250;Yes;950000
Sarrià-Sant Gervasi;6;248;Yes;950000
Eixample;3;84;Yes;280000
Les Corts;4;110;Yes;540000
Eixample;3;74;No;250000
Sarrià-Sant Gervasi;7;339;Yes;1400000
Sarrià-Sant Gervasi;3;83;Yes;325000
Ciutat Vella;3;120;No;379000
Ciutat Vella;2;61;Yes;195000
Eixample;2;119;Yes;529000
Sants-Montjuïc;3;80;Yes;230000
Ciutat Vella;4;136;No;500000
Gràcia;1;64;Yes;280250
Sants-Montjuïc;3;77;Yes;185000
Ciutat Vella;3;81;No;225000
Eixample;1;63;Yes;365000
Eixample;4;76;Yes;255000
Ciutat Vella;3;64;No;135000
Sants-Montjuïc;4;78;No;285000
Les Corts;7;360;Yes;1680000
Ciutat Vella;3;138;No;379000
Sant Martí;4;76;Yes;183000
Horta-Guinardó;2;55;Yes;149000
Eixample;5;172;Yes;579000
Eixample;2;80;Yes;230000
Eixample;6;166;Yes;675000
Les Corts;3;125;Yes;360000
Sant Martí;3;83;Yes;315000
Nou Barris;6;103;No;280000
Ciutat Vella;1;34;No;158000
Nou Barris;3;56;Yes;129000
Sarrià-Sant Gervasi;4;96;Yes;420000
Sants-Montjuïc;3;70;No;175000
Les Corts;4;72;Yes;255000
Les Corts;3;62;Yes;395000
Ciutat Vella;4;116;Yes;450000
Les Corts;3;140;Yes;540000
Ciutat Vella;2;53;No;159000
Sants-Montjuïc;1;20;Yes;89500
Ciutat Vella;2;36;No;105000
Ciutat Vella;2;70;Yes;380000
Sarrià-Sant Gervasi;8;490;Yes;2500000
Eixample;5;180;Yes;750000
Sants-Montjuïc;3;61;Yes;210000
Sant Andreu;3;90;Yes;250000
Sant Martí;3;77;No;185000
Horta-Guinardó;3;81;Yes;250000
Les Corts;3;81;Yes;246000
Sarrià-Sant Gervasi;5;282;Yes;2850000
Ciutat Vella;4;112;Yes;365000
Eixample;4;110;Yes;365000
Sants-Montjuïc;3;64;Yes;260000
Gràcia;5;180;Yes;599000
Ciutat Vella;5;230;No;769000
Sarrià-Sant Gervasi;3;177;No;395000
Sant Martí;4;86;Yes;180000
Sant Martí;4;80;Yes;180000
Eixample;3;70;Yes;249000
Eixample;4;191;Yes;750000
Nou Barris;1;80;Yes;500000
Les Corts;4;127;Yes;550000
Eixample;3;104;Yes;445000
Sarrià-Sant Gervasi;6;390;Yes;1850000
Nou Barris;3;62;Yes;189000
Gràcia;3;252;No;230000
Eixample;3;58;Yes;350000
Eixample;3;65;Yes;265000
Sant Martí;4;79;Yes;195000
Les Corts;2;101;Yes;367000
Eixample;4;149;Yes;495000
Gràcia;2;64;Yes;280000
Eixample;4;83;Yes;360000
Sant Martí;3;60;Yes;176000
Sants-Montjuïc;3;110;No;175000
Sarrià-Sant Gervasi;5;180;Yes;850000
Horta-Guinardó;3;67;Yes;245000
Nou Barris;3;58;Yes;165000
Sarrià-Sant Gervasi;3;177;Yes;1250000
Sants-Montjuïc;3;59;No;185000
Les Corts;4;130;Yes;525000
Sarrià-Sant Gervasi;3;121;Yes;720000
Eixample;3;68;Yes;280000
Ciutat Vella;2;45;No;180000
Sarrià-Sant Gervasi;5;200;Yes;999000
Gràcia;3;74;Yes;249000
Nou Barris;3;66;Yes;169000
Sant Andreu;3;70;No;220000
Eixample;3;104;Yes;349000
Sant Martí;4;86;Yes;199900
Sant Martí;3;61;Yes;300000
Sant Andreu;4;78;Yes;245000
Gràcia;5;96;No;370000
Horta-Guinardó;3;79;Yes;260000
Ciutat Vella;2;50;Yes;200000
Sant Martí;3;75;Yes;210000
Eixample;3;106;Yes;550000
Sant Martí;4;102;Yes;265000
Sants-Montjuïc;3;60;Yes;175000
Eixample;4;75;Yes;255000
Sant Andreu;4;85;Yes;270000
Eixample;2;78;Yes;315000
Sants-Montjuïc;5;103;No;249000
Nou Barris;3;58;Yes;168000
Sarrià-Sant Gervasi;2;70;No;235000
Sants-Montjuïc;4;75;Yes;279000
Sants-Montjuïc;4;120;Yes;388000
Eixample;2;120;Yes;695000
Horta-Guinardó;3;60;No;129000
Sarrià-Sant Gervasi;1;95;Yes;199000
Eixample;3;66;Yes;270000
Sarrià-Sant Gervasi;4;100;Yes;390000
Sants-Montjuïc;3;76;Yes;220000
Ciutat Vella;2;44;No;120000
Sant Martí;3;73;Yes;160000
Ciutat Vella;3;79;No;280000
Eixample;2;94;Yes;525000
Sarrià-Sant Gervasi;5;144;Yes;770000
Sarrià-Sant Gervasi;5;144;Yes;720000
Sarrià-Sant Gervasi;5;280;Yes;1260000
Sarrià-Sant Gervasi;3;146;Yes;1450000
Sarrià-Sant Gervasi;5;314;Yes;1750000
Sant Martí;4;125;Yes;275000
Les Corts;8;836;No;4600000
Les Corts;4;500;No;3400000
Sant Martí;2;61;Yes;159900
Sant Andreu;3;57;Yes;114900
Sants-Montjuïc;4;80;Yes;165000
Horta-Guinardó;3;66;Yes;175000
Horta-Guinardó;3;90;Yes;400000
Sants-Montjuïc;5;140;Yes;380000
Eixample;4;124;Yes;390000
Sarrià-Sant Gervasi;4;130;Yes;625000
Ciutat Vella;2;45;Yes;178000
Ciutat Vella;2;50;Yes;178000
Ciutat Vella;2;100;Yes;230000
Ciutat Vella;2;75;Yes;230000
Eixample;1;73;Yes;470000
Eixample;2;79;Yes;450000
Eixample;2;79;Yes;460000
Les Corts;3;73;Yes;355000
Les Corts;3;73;Yes;435000
Sant Andreu;3;88;Yes;300000
Ciutat Vella;4;85;No;283000
Eixample;4;90;Yes;350000
Sarrià-Sant Gervasi;3;173;No;330000
Horta-Guinardó;2;75;No;135000
Sant Martí;1;58;No;176000
Eixample;2;84;No;295000
Ciutat Vella;3;78;No;158000
Eixample;4;200;Yes;1200000
Eixample;2;65;Yes;195000
Sant Andreu;2;75;Yes;280000
Horta-Guinardó;3;70;No;176000
Gràcia;1;33;Yes;215000
Sants-Montjuïc;1;30;No;135000
Nou Barris;3;74;Yes;129999
Eixample;3;86;Yes;295000
Sants-Montjuïc;3;87;Yes;199000
Nou Barris;3;79;Yes;142900
Sarrià-Sant Gervasi;4;101;Yes;475000
Sarrià-Sant Gervasi;5;140;Yes;990000
Sants-Montjuïc;2;75;No;200000
Sarrià-Sant Gervasi;6;355;Yes;2300000
Ciutat Vella;1;40;Yes;195000
Sant Martí;2;60;Yes;120000
Ciutat Vella;11;536;Yes;1850000
Ciutat Vella;3;52;No;165000
Eixample;2;51;Yes;215000
Sant Martí;4;131;Yes;199900
Sants-Montjuïc;3;75;Yes;235000
Ciutat Vella;3;85;No;216000
Eixample;4;108;Yes;550000
Sants-Montjuïc;3;53;Yes;244500
Eixample;4;80;Yes;305000
Sant Andreu;3;70;Yes;199000
Horta-Guinardó;2;76;Yes;200500
Sant Martí;3;70;Yes;135000
Eixample;3;107;Yes;435000
Ciutat Vella;3;47;No;135000
Horta-Guinardó;3;68;Yes;125000
Gràcia;4;70;Yes;330000
Horta-Guinardó;3;70;Yes;155000
Ciutat Vella;3;119;No;395000
Ciutat Vella;3;80;No;335000
Eixample;4;111;No;380000
Eixample;4;100;Yes;475000
Eixample;4;140;Yes;860000
Ciutat Vella;5;185;No;700000
Ciutat Vella;2;66;Yes;340000
Sant Martí;1;53;No;235000
Ciutat Vella;2;45;No;93000
Les Corts;4;103;Yes;395000
Ciutat Vella;2;53;No;141500
Horta-Guinardó;3;60;Yes;206000
Sant Andreu;3;81;Yes;235000
Sarrià-Sant Gervasi;4;111;Yes;422500
Eixample;4;90;Yes;390000
Sant Martí;2;51;Yes;195000
Sant Martí;3;75;Yes;210000
Sant Martí;3;80;Yes;265000
Sants-Montjuïc;4;161;No;325000
Sarrià-Sant Gervasi;2;66;Yes;399000
Gràcia;3;66;No;320000
Les Corts;4;143;Yes;795000
Horta-Guinardó;3;80;Yes;200000
Sants-Montjuïc;2;98;No;275000
Sarrià-Sant Gervasi;5;230;Yes;890000
Sarrià-Sant Gervasi;5;200;Yes;1350000
Sarrià-Sant Gervasi;5;280;Yes;1880000
Sarrià-Sant Gervasi;5;150;Yes;640000
Sants-Montjuïc;2;53;No;225000
Horta-Guinardó;3;58;Yes;225000
Eixample;4;100;Yes;420000
Sarrià-Sant Gervasi;2;60;Yes;150000
Ciutat Vella;2;61;No;290000
Eixample;5;160;Yes;675000
Sants-Montjuïc;4;95;Yes;320000
Eixample;2;56;No;195000
Sarrià-Sant Gervasi;4;137;Yes;790000
Horta-Guinardó;6;160;No;499999
Sant Martí;3;80;Yes;155000
Eixample;6;185;Yes;770000
Eixample;2;65;Yes;295000
Sant Martí;3;70;Yes;270000
Sants-Montjuïc;3;70;No;190000
Sarrià-Sant Gervasi;5;87;Yes;417000
Sant Martí;3;94;Yes;215000
Sants-Montjuïc;4;110;Yes;336000
Eixample;4;85;Yes;330000
Eixample;4;95;Yes;400000
Nou Barris;3;65;Yes;157500
Sarrià-Sant Gervasi;5;195;Yes;980000
Ciutat Vella;3;85;No;315000
Sant Martí;3;85;Yes;269000
Eixample;9;165;Yes;680000
Gràcia;4;160;Yes;450000
Horta-Guinardó;3;60;Yes;240000
Sarrià-Sant Gervasi;5;126;Yes;570000
Sants-Montjuïc;1;73;No;240000
Horta-Guinardó;8;296;No;630000
Sants-Montjuïc;3;75;Yes;235000
Gràcia;3;70;No;350000
Nou Barris;3;80;Yes;240000
Nou Barris;3;100;Yes;190000
Horta-Guinardó;4;75;No;210000
Eixample;3;80;Yes;495000
Sants-Montjuïc;1;20;No;100000
Sant Martí;2;71;Yes;220000
Sarrià-Sant Gervasi;5;256;Yes;1750000
Les Corts;7;739;No;3390000
Eixample;3;130;No;520000
Eixample;3;142;Yes;790000
Sants-Montjuïc;3;68;Yes;193000
Eixample;4;134;Yes;445000
Sarrià-Sant Gervasi;6;400;No;2475000
Eixample;4;137;Yes;795000
Sant Martí;2;66;Yes;199000
Sarrià-Sant Gervasi;4;124;Yes;450000
Eixample;6;191;Yes;1300000
Sarrià-Sant Gervasi;4;162;Yes;730000
Gràcia;3;118;Yes;550000
Sants-Montjuïc;4;145;Yes;360000
Eixample;3;138;Yes;760000
Sarrià-Sant Gervasi;4;170;Yes;1200000
Nou Barris;3;65;Yes;179900
Ciutat Vella;3;62;Yes;235000
Eixample;4;112;Yes;415000
Horta-Guinardó;5;128;No;490000
Les Corts;7;250;Yes;1250000
Les Corts;1;63;No;165000
Horta-Guinardó;2;69;Yes;201700
Sant Andreu;3;107;Yes;315000
Nou Barris;3;60;No;142000
Eixample;3;88;Yes;260000
Sant Martí;8;690;No;1250000
Sant Martí;4;75;Yes;210000
Eixample;3;94;Yes;275000
Sant Andreu;3;75;Yes;200000
Ciutat Vella;3;60;No;157900
Gràcia;3;118;Yes;550000
Sarrià-Sant Gervasi;4;143;Yes;680000
Sants-Montjuïc;3;77;No;235000
Eixample;5;181;Yes;660000
Sarrià-Sant Gervasi;4;116;Yes;680000
Nou Barris;3;56;Yes;129000
Ciutat Vella;3;114;No;335000
Eixample;4;100;Yes;340000
Nou Barris;3;65;Yes;179000
Sant Martí;3;76;Yes;169000
Eixample;4;100;Yes;420000
Les Corts;4;102;Yes;399000
Eixample;5;154;Yes;590000
Sant Andreu;4;74;Yes;205000
Sarrià-Sant Gervasi;5;150;Yes;585000
Horta-Guinardó;4;155;Yes;400000
Sarrià-Sant Gervasi;6;274;Yes;1190000
Sants-Montjuïc;4;85;Yes;330000
Eixample;4;101;Yes;365000
Ciutat Vella;3;86;No;350000
Eixample;1;71;Yes;189000
Eixample;2;44;Yes;185000
Sants-Montjuïc;3;60;Yes;249000
Ciutat Vella;1;30;No;115000
Sarrià-Sant Gervasi;4;111;Yes;422500
Sant Martí;3;50;Yes;225000
Eixample;3;121;Yes;790000
Eixample;4;140;Yes;545000
Sants-Montjuïc;3;100;Yes;430000
Sant Andreu;3;75;Yes;120000
Les Corts;3;65;Yes;395000
Eixample;6;338;Yes;1060000
Sants-Montjuïc;1;42;No;125000
Sarrià-Sant Gervasi;4;174;Yes;680000
Ciutat Vella;3;59;No;178500
Horta-Guinardó;4;95;Yes;340000
Sarrià-Sant Gervasi;3;170;Yes;980000
Eixample;4;100;Yes;325000
Eixample;4;88;No;425000
Sarrià-Sant Gervasi;3;73;No;554000
Gràcia;4;95;Yes;368600
Nou Barris;4;75;Yes;190000
Nou Barris;2;50;Yes;149000
Eixample;2;43;No;179000
Sant Martí;2;51;Yes;249000
Eixample;5;160;Yes;619000
Eixample;2;130;Yes;620000
Eixample;3;130;Yes;650000
Eixample;2;190;Yes;650000
Sants-Montjuïc;4;93;Yes;330000
Sant Martí;3;60;Yes;180000
Sants-Montjuïc;2;90;Yes;288000
Sant Andreu;3;66;Yes;195000
Horta-Guinardó;4;98;Yes;245000
Eixample;1;60;Yes;260000
Gràcia;3;110;Yes;370000
Gràcia;5;230;Yes;1150000
Sarrià-Sant Gervasi;5;231;Yes;1150000
Sarrià-Sant Gervasi;7;300;Yes;1000000
Sarrià-Sant Gervasi;3;100;Yes;450000
Sant Martí;3;49;Yes;155000
Sant Martí;4;88;Yes;300000
Sant Martí;4;120;Yes;370000
Sant Martí;2;69;Yes;220000
Sarrià-Sant Gervasi;4;100;Yes;375000
Sant Martí;3;75;No;279000
Sant Martí;4;134;Yes;675000
Les Corts;3;148;Yes;718500
Gràcia;4;132;Yes;330000
Eixample;2;141;Yes;597500
Sant Martí;3;69;Yes;300000
Les Corts;3;95;Yes;395000
Ciutat Vella;2;73;No;199000
Horta-Guinardó;10;297;No;795000
Sarrià-Sant Gervasi;4;185;Yes;1390000
Horta-Guinardó;4;140;No;520000
Gràcia;4;294;No;1800000
Horta-Guinardó;6;224;No;720000
Eixample;3;83;Yes;280000
Eixample;5;129;Yes;475000
Sarrià-Sant Gervasi;4;174;Yes;900000
Sarrià-Sant Gervasi;4;120;Yes;415000
Eixample;4;92;Yes;395000
Sant Martí;3;91;Yes;189000
Sarrià-Sant Gervasi;1;43;Yes;245000
Ciutat Vella;2;35;No;160000
Eixample;3;75;Yes;180000
Sant Andreu;3;66;Yes;195000
Sants-Montjuïc;4;90;Yes;225000
Ciutat Vella;3;59;Yes;140000
Les Corts;3;101;Yes;450000
Gràcia;1;62;No;210000
Sarrià-Sant Gervasi;7;566;No;2900000
Ciutat Vella;1;51;No;150000
Sant Martí;3;88;Yes;320000
Sants-Montjuïc;3;74;Yes;225000
Eixample;4;125;Yes;598000
Eixample;3;93;Yes;540000
Les Corts;2;80;Yes;295000
Horta-Guinardó;3;60;No;135000
Horta-Guinardó;5;124;Yes;375000
Gràcia;1;52;Yes;295000
Ciutat Vella;2;158;No;560000
Sant Martí;4;79;Yes;195000
Sarrià-Sant Gervasi;4;329;Yes;1350000
Eixample;3;122;Yes;475000
Eixample;10;262;Yes;978000
Eixample;3;81;Yes;299000
Les Corts;3;86;Yes;310000
Eixample;3;130;Yes;520000
Gràcia;2;95;No;370000
Sarrià-Sant Gervasi;3;121;Yes;550000
Sarrià-Sant Gervasi;5;160;Yes;650000
Eixample;5;158;Yes;530000
Gràcia;4;85;Yes;320000
Gràcia;4;85;Yes;319000
Gràcia;4;92;Yes;390000
Horta-Guinardó;3;85;Yes;319000
Gràcia;2;107;Yes;650000
Eixample;3;56;Yes;194000
Sants-Montjuïc;4;127;Yes;540000
Sarrià-Sant Gervasi;5;285;Yes;1260000
Horta-Guinardó;2;42;No;79000
Ciutat Vella;3;77;No;195000
Eixample;4;185;Yes;365000
Les Corts;4;78;Yes;219000
Sarrià-Sant Gervasi;4;125;Yes;495000
Sarrià-Sant Gervasi;5;165;Yes;655000
Eixample;3;108;Yes;409000
Eixample;5;157;Yes;530000
Les Corts;3;80;Yes;395000
Eixample;3;180;Yes;1200000
Les Corts;3;70;Yes;360000
Eixample;3;70;Yes;255000
Gràcia;2;70;No;239000
Eixample;2;56;Yes;209000
Eixample;5;155;Yes;595000
Gràcia;3;78;Yes;255000
Nou Barris;4;137;No;265000
Eixample;2;58;Yes;205000
Sant Martí;3;74;Yes;233000
Sant Andreu;3;79;Yes;219000
Sant Martí;4;96;Yes;325000
Sarrià-Sant Gervasi;2;114;Yes;500000
Ciutat Vella;5;100;Yes;358000
Les Corts;6;289;Yes;1200000
Gràcia;4;88;Yes;350000
Eixample;3;69;Yes;340000
Sarrià-Sant Gervasi;3;93;No;375000
Les Corts;7;716;No;3390000
Sants-Montjuïc;4;97;Yes;340000
Les Corts;5;145;Yes;1220000
Sants-Montjuïc;3;120;Yes;463000
Les Corts;5;227;No;1095000
Horta-Guinardó;3;55;No;130000
Sarrià-Sant Gervasi;3;143;Yes;900000
Sarrià-Sant Gervasi;7;319;Yes;1350000
Gràcia;4;196;Yes;595000
Sarrià-Sant Gervasi;3;121;Yes;562000
Eixample;5;106;Yes;370000
Sarrià-Sant Gervasi;5;246;Yes;990000
Sant Andreu;3;70;Yes;199000
Ciutat Vella;2;39;No;130000
Eixample;2;93;Yes;450000
Sarrià-Sant Gervasi;3;120;Yes;445000
Sant Andreu;4;102;Yes;255000
Sants-Montjuïc;2;87;Yes;299000
Eixample;2;47;Yes;210000
Eixample;2;47;Yes;210000
Eixample;3;110;No;250000
Sants-Montjuïc;2;83;Yes;255000
Sants-Montjuïc;3;72;Yes;260000
Sarrià-Sant Gervasi;3;120;Yes;495000
Gràcia;4;88;Yes;375000
Les Corts;3;76;Yes;430000
Gràcia;2;74;No;325000
Gràcia;3;69;Yes;240000
Sarrià-Sant Gervasi;5;258;Yes;1050000
Eixample;2;81;No;490000
Gràcia;3;72;Yes;265000
Sarrià-Sant Gervasi;10;690;No;3950000
Ciutat Vella;2;55;No;155000
Eixample;3;70;Yes;365000
Eixample;4;90;No;239000
Sants-Montjuïc;3;64;Yes;220000
Ciutat Vella;3;58;No;140000
Eixample;3;129;Yes;599000
Sarrià-Sant Gervasi;4;120;Yes;595000
Ciutat Vella;4;114;No;335000
Les Corts;4;95;Yes;430000
Eixample;4;117;Yes;410000
Eixample;4;134;No;395000
Nou Barris;2;76;No;125000
Les Corts;4;125;Yes;550000
Eixample;7;228;Yes;2200000
Eixample;6;200;Yes;710000
Sarrià-Sant Gervasi;3;150;Yes;550000
Sarrià-Sant Gervasi;5;150;Yes;410000
Sants-Montjuïc;3;64;Yes;190000
Eixample;4;140;Yes;550000
Horta-Guinardó;3;145;No;259000
Sarrià-Sant Gervasi;3;90;Yes;410000
Sant Martí;3;84;No;330000
Sarrià-Sant Gervasi;7;391;Yes;1690000
Eixample;3;129;Yes;550000
Gràcia;2;80;Yes;320000
Sarrià-Sant Gervasi;5;320;Yes;1750000
Eixample;6;158;Yes;680000
Eixample;6;153;Yes;650000
Sant Andreu;3;64;Yes;179900
Eixample;7;184;Yes;780000
Eixample;4;176;Yes;750000
Eixample;8;261;Yes;978000
Gràcia;5;317;No;699000
Sant Martí;5;192;No;549000
Eixample;5;141;Yes;622000
Sants-Montjuïc;3;47;No;199900
Eixample;3;90;Yes;400000
Gràcia;4;118;Yes;550000
Sarrià-Sant Gervasi;3;132;Yes;498000
Ciutat Vella;3;85;No;239000
Eixample;3;82;Yes;350000
Eixample;3;87;Yes;570000
Ciutat Vella;4;212;No;850000
Eixample;3;130;Yes;520000
Ciutat Vella;6;175;Yes;635000
Les Corts;3;58;Yes;450000
Les Corts;4;136;Yes;890000
Sarrià-Sant Gervasi;4;121;Yes;465000
Nou Barris;3;70;Yes;155000
Gràcia;4;136;Yes;475000
Sarrià-Sant Gervasi;5;145;Yes;790000
Sarrià-Sant Gervasi;4;188;Yes;599000
Eixample;3;87;Yes;330000
Sant Andreu;3;65;Yes;185000
Horta-Guinardó;10;297;No;795000
Sarrià-Sant Gervasi;4;123;Yes;690000
Horta-Guinardó;5;142;No;450000
Ciutat Vella;5;139;Yes;657000
Sarrià-Sant Gervasi;5;335;No;2850000
Sarrià-Sant Gervasi;4;137;Yes;550000
Les Corts;3;65;Yes;385000
Sarrià-Sant Gervasi;7;650;No;2300000
Ciutat Vella;3;235;No;712500
Sarrià-Sant Gervasi;6;274;Yes;1670000
Sant Martí;3;65;No;210000
Eixample;6;196;Yes;900000
Sant Martí;2;50;No;175000
Sarrià-Sant Gervasi;2;143;Yes;900000
Gràcia;3;80;Yes;310000
Eixample;4;90;Yes;325000
Ciutat Vella;2;55;No;175000
Eixample;4;97;Yes;367000
Eixample;2;86;Yes;302000
Les Corts;3;129;Yes;718500
Ciutat Vella;3;73;Yes;290000
Eixample;3;104;Yes;345000
Ciutat Vella;3;80;No;210000
Ciutat Vella;4;204;Yes;780000
Sarrià-Sant Gervasi;5;217;No;990000
Eixample;4;157;Yes;545000
Ciutat Vella;4;114;Yes;340000
Eixample;1;85;Yes;460000
Nou Barris;2;76;No;125000
Eixample;3;80;Yes;295000
Eixample;3;116;Yes;550000
Les Corts;3;73;Yes;435000
Ciutat Vella;2;150;Yes;830000
Ciutat Vella;3;114;No;350000
Les Corts;3;73;Yes;460000
Sants-Montjuïc;4;85;Yes;310000
Sarrià-Sant Gervasi;6;257;Yes;800000
Ciutat Vella;6;549;Yes;1950000
Sant Martí;4;99;Yes;378000
Sarrià-Sant Gervasi;3;100;Yes;550000
Sarrià-Sant Gervasi;4;120;Yes;650000
Les Corts;3;74;Yes;430000
Les Corts;2;73;Yes;460000
Eixample;2;81;No;480000
Sarrià-Sant Gervasi;5;123;Yes;740000
Sarrià-Sant Gervasi;7;250;Yes;1000000
Eixample;5;220;Yes;620000
Nou Barris;1;74;No;87000
Sant Andreu;1;74;Yes;156000
Sants-Montjuïc;4;120;Yes;391000
Sants-Montjuïc;4;77;No;285000
Sarrià-Sant Gervasi;4;110;Yes;495000
Sant Andreu;3;69;Yes;186000
Gràcia;4;66;No;229000
Eixample;3;46;No;185000
Nou Barris;3;54;Yes;125000
Eixample;4;130;Yes;699000
Sant Andreu;3;104;Yes;295000
Eixample;3;87;Yes;570000
Ciutat Vella;4;212;Yes;850000
Sarrià-Sant Gervasi;5;154;No;460000
Sant Martí;2;80;Yes;325000
Eixample;5;250;Yes;790000
Eixample;2;35;Yes;190000
Sant Martí;3;90;Yes;250000
Eixample;4;142;Yes;750000
Horta-Guinardó;3;67;Yes;155000
Les Corts;4;146;Yes;520000
Eixample;6;337;Yes;1060000
Horta-Guinardó;3;55;No;149000
Sant Martí;1;154;No;390000
Eixample;5;141;Yes;670000
Sant Andreu;7;200;No;279900
Eixample;4;132;Yes;598000
Les Corts;4;73;Yes;350000
Sants-Montjuïc;1;20;No;90000
Ciutat Vella;2;85;Yes;480000
Ciutat Vella;1;54;No;142500
Ciutat Vella;2;70;Yes;280000
Ciutat Vella;1;61;Yes;250000
Eixample;3;76;Yes;570000
Les Corts;4;178;Yes;1150000
Eixample;4;89;Yes;350000
Eixample;4;124;Yes;390000
Sarrià-Sant Gervasi;5;185;Yes;1390000
Sant Martí;3;67;Yes;205000
Horta-Guinardó;4;123;Yes;270000
Eixample;4;210;Yes;1195000
Eixample;5;136;Yes;470000
Eixample;3;110;Yes;469000
Ciutat Vella;2;40;No;96000
Ciutat Vella;2;50;Yes;200000
