district;rooms;area_m2;lift;prices
Sarrià-Sant Gervasi;5;150;Yes;750000
Eixample;4;197;Yes;550000
Sarrià-Sant Gervasi;5;160;Yes;950000
Eixample;7;150;Yes;530000
Eixample;3;80;Yes;245000
Ciutat Vella;1;60;Yes;339000
Eixample;4;140;Yes;750000
Sarrià-Sant Gervasi;3;83;No;335000
Sarrià-Sant Gervasi;6;519;No;1350000
Sants-Montjuïc;3;84;No;245000
Ciutat Vella;4;156;Yes;630000
Sant Martí;3;68;Yes;192000
Horta-Guinardó;2;55;Yes;159000
Sant Andreu;3;65;Yes;190000
Sants-Montjuïc;3;75;Yes;215000
Sants-Montjuïc;3;70;Yes;230000
Sants-Montjuïc;3;60;Yes;165000
Eixample;2;84;Yes;630000
Sarrià-Sant Gervasi;3;95;Yes;349000
Sant Martí;3;73;Yes;229000
Sant Martí;4;79;Yes;195000
Sant Martí;4;139;Yes;698000
Horta-Guinardó;5;160;No;595000
Les Corts;2;88;Yes;360000
Sant Martí;2;52;No;99000
