Unix;Date;Close
1,64376E+12;02/02/2022;36896.36
1,64367E+12;01/02/2022;38694.59
1,64359E+12;31/01/2022;38466.9
1,6435E+12;30/01/2022;37881.76
1,64341E+12;29/01/2022;38166.84
1,64333E+12;28/01/2022;37716.56
1,64324E+12;27/01/2022;37160.1
1,64316E+12;26/01/2022;36809.34
1,64307E+12;25/01/2022;36958.32
1,64298E+12;24/01/2022;36660.35
1,6429E+12;23/01/2022;36244.55
1,64281E+12;22/01/2022;35071.42
1,64272E+12;21/01/2022;36445.31
1,64264E+12;20/01/2022;40680.91
1,64255E+12;19/01/2022;41660.01
1,64246E+12;18/01/2022;42352.12
1,64238E+12;17/01/2022;42201.62
1,64229E+12;16/01/2022;43071.66
1,6422E+12;15/01/2022;43084.29
1,64212E+12;14/01/2022;43059.96
1,64203E+12;13/01/2022;42560.11
1,64195E+12;12/01/2022;43902.66
1,64186E+12;11/01/2022;42729.29
1,64177E+12;10/01/2022;41822.49
1,64169E+12;09/01/2022;41864.62
1,6416E+12;08/01/2022;41679.74
1,64151E+12;07/01/2022;41566.48
1,64143E+12;06/01/2022;43082.31
1,64134E+12;05/01/2022;43451.13
1,64125E+12;04/01/2022;45832.01
1,64117E+12;03/01/2022;46446.1
1,64108E+12;02/01/2022;47286.18
1,641E+12;01/01/2022;47722.65
1,64091E+12;31/12/2021;46216.93
1,64082E+12;30/12/2021;47120.87
1,64074E+12;29/12/2021;46464.66
1,64065E+12;28/12/2021;47543.74
1,64056E+12;27/12/2021;50701.44
1,64048E+12;26/12/2021;50775.49
1,64039E+12;25/12/2021;50399.66
1,6403E+12;24/12/2021;50820.0
1,64022E+12;23/12/2021;50838.81
1,64013E+12;22/12/2021;48588.16
1,64004E+12;21/12/2021;48889.88
1,63996E+12;20/12/2021;46914.16
1,63987E+12;19/12/2021;46681.23
1,63979E+12;18/12/2021;46834.48
1,6397E+12;17/12/2021;46131.2
1,63961E+12;16/12/2021;47632.38
1,63953E+12;15/12/2021;48864.98
1,63944E+12;14/12/2021;48343.28
1,63935E+12;13/12/2021;46702.75
1,63927E+12;12/12/2021;50053.9
1,63918E+12;11/12/2021;49389.99
1,63909E+12;10/12/2021;47140.54
1,63901E+12;09/12/2021;47545.59
1,63892E+12;08/12/2021;50471.19
1,63884E+12;07/12/2021;50588.95
1,63875E+12;06/12/2021;50441.92
1,63866E+12;05/12/2021;49396.33
1,63858E+12;04/12/2021;49152.47
1,63849E+12;03/12/2021;53601.05
1,6384E+12;02/12/2021;56480.34
1,63832E+12;01/12/2021;57184.07
1,63823E+12;30/11/2021;56950.56
1,63814E+12;29/11/2021;57776.25
1,63806E+12;28/11/2021;57274.88
1,63797E+12;27/11/2021;54721.03
1,63788E+12;26/11/2021;53726.53
1,6378E+12;25/11/2021;58960.36
1,63771E+12;24/11/2021;57138.29
1,63763E+12;23/11/2021;57541.27
1,63754E+12;22/11/2021;56247.18
1,63745E+12;21/11/2021;58622.02
1,63737E+12;20/11/2021;59707.51
1,63728E+12;19/11/2021;58052.24
1,63719E+12;18/11/2021;56891.62
1,63711E+12;17/11/2021;60344.87
1,63702E+12;16/11/2021;60058.87
1,63693E+12;15/11/2021;63606.74
1,63685E+12;14/11/2021;65519.1
1,63676E+12;13/11/2021;64380.0
1,63668E+12;12/11/2021;64122.23
1,63659E+12;11/11/2021;64774.26
1,6365E+12;10/11/2021;64882.43
1,63642E+12;09/11/2021;66947.66
1,63633E+12;08/11/2021;67525.83
1,63624E+12;07/11/2021;63273.59
1,63616E+12;06/11/2021;61470.61
1,63607E+12;05/11/2021;60937.12
1,63598E+12;04/11/2021;61395.01
