district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;139; floor 3;1100000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Penthouse;4;365; floor 5;2150000;Yes;exterior
Gràcia;Vallcarca i els Penitents;good condition;Penthouse;2;80; floor 4;429000;Yes;exterior
Sant Martí;el Poblenou;good condition;Penthouse;2;93; floor 2;455000;No;exterior
Nou Barris;Vilapicina i la Torre Llobeta;good condition;Penthouse;3;125; floor 5;460000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Penthouse;5;155; floor 9;890000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;134; floor 1;790000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;112;mezzanine;550000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;95; floor 8;560000;Yes;exterior
Sant Andreu;Sant Andreu;good condition;Terraced;3;75;Multiple;298000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;1;52; floor 5;370000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;105;ground floor;573000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;76; floor 3;339500;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;4;101; floor 3;437500;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;146; floor 1;1430000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;169; floor 6;1650000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;2;82; floor 3;379000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;84; floor 4;320000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;74; floor 2;315000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;75; floor 2;540000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;4;136; floor 4;820000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;4;130; floor 1;720000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;3;126; floor 1;790000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;93; floor 8;405000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;House;5;311;Multiple;990000;No;exterior
Sant Martí;el Poblenou;good condition;Flat;3;90;ground floor;330000;Yes;interior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;93; floor 8;415000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;4;91; floor 5;260000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;4;86; floor 1;320000;Yes;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;4;81; floor 6;270000;Yes;exterior
Ciutat Vella;el Raval;good condition;Penthouse;2;63; floor 5;349000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;104; floor 2;660000;Yes;exterior
Les Corts;Pedralbes;good condition;House;9;605;Multiple;4500000;No;exterior
Les Corts;Pedralbes;good condition;House;7;900;Multiple;10000000;No;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;House;2;224;Multiple;2750000;No;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;House;3;134;Multiple;780000;No;exterior
Horta-Guinardó;la Teixonera;good condition;House;3;79;Multiple;199520;No;exterior
Les Corts;Pedralbes;good condition;House;5;340;Multiple;2060000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;House;5;248;Multiple;1950000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;House;6;474;Multiple;2350000;No;exterior
Nou Barris;la Trinitat Nova;good condition;Flat;3;104; floor 3;176000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;3;78; floor 2;499000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;3;97; floor 5;339000;Yes;exterior
Les Corts;Pedralbes;good condition;House;4;185;Multiple;860000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;4;107; floor 4;460000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;2;65; floor 2;245000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;4;101; floor 3;437000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;1;56; floor 4;169000;Yes;interior
