district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Les Corts;Pedralbes;good condition;Flat;4;400; floor 1;1790000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;111; floor 1;1150000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;149; floor 6;1900000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;4;90; floor 7;345000;Yes;interior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;76; floor 5;460000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;140; floor 1;2500000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;197; floor 4;1570000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Penthouse;2;100; floor 2;385000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;128; floor 4;759000;Yes;exterior
Sant Andreu;Navas;good condition;Flat;3;65; floor 6;225000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;95; floor 5;370000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;81; floor 2;230000;Yes;exterior
Eixample;la Sagrada Família;good condition;Penthouse;3;89; floor 3;475000;Yes;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;1;33;ground floor;132000;No;exterior
Horta-Guinardó;Horta;good condition;Flat;3;118; floor 2;395000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Penthouse;4;131; floor 4;660000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;2;65; floor 5;450000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;332; floor 5;1395000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;86; floor 4;440000;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;100; floor 4;640000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;123; floor 5;850000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;40; floor 2;179000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;135; floor 2;890000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Duplex;3;158; floor 10;1495000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;180; floor 8;795000;Yes;exterior
Horta-Guinardó;Sant Genís dels Agudells;good condition;Penthouse;1;66; floor 2;220000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;208; floor 1;1095000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;227; floor 9;1995000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;1;85;ground floor;240000;Yes;exterior
Les Corts;Pedralbes;good condition;House;4;190;Multiple;860000;No;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;2;60; floor 1;160000;No;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;60; floor 3;220000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;96; floor 1;375000;No;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;92; floor 6;375000;Yes;exterior
Eixample;la Sagrada Família;good condition;Penthouse;4;180; floor 9;695000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;4;78;ground floor;255000;Yes;interior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;64; floor 2;200000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;143; floor 3;1010000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;3;207;ground floor;755000;Yes;interior
Ciutat Vella;el Barri Gòtic;good condition;Duplex;5;175; floor 3;990000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Detached;4;480;Multiple;1450000;No;exterior
Les Corts;les Corts;good condition;Flat;2;72; floor 2;495000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;265; floor 1;2300000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;132; floor 6;780000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;105; floor 1;699000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;60;ground floor;358000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;3;72; floor 1;279000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Detached;5;340;Multiple;2650000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;1;102; floor 2;386000;No;exterior
Nou Barris;Porta;good condition;Flat;3;72; floor 2;179500;No;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;115; floor 4;560000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;3;67; floor 3;205000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;3;73; floor 1;218000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Detached;4;170;Multiple;453000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;177; floor 4;997000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;200; floor 5;2100000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;85;mezzanine;320000;Yes;interior
Ciutat Vella;el Raval;good condition;Flat;2;150;ground floor;495000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;55; floor 5;259000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;60; floor 2;160000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;155; floor 6;1100000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;135; floor 1;639000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;4;112; floor 3;560000;Yes;exterior
Horta-Guinardó;el Carmel;good condition;Flat;3;69; floor 2;204000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;2;140; floor 5;1500000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Penthouse;1;108; floor 3;550000;Yes;exterior
Eixample;Sant Antoni;good condition;Penthouse;1;33; floor 5;230000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;77; floor 2;245000;No;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Detached;4;335;Multiple;1490000;No;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;Detached;4;304;Multiple;675000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;4;185; floor 8;1190000;Yes;exterior
Gràcia;la Salut;good condition;Terraced;3;111;Multiple;430000;No;exterior
Gràcia;Vallcarca i els Penitents;good condition;Detached;5;222;Multiple;975000;No;exterior
Horta-Guinardó;Horta;good condition;Flat;3;63; floor 1;199900;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;3;118; floor 2;795000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Flat;3;89; floor 2;235000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;2;84; floor 2;535000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;90; floor 6;329000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;117; floor 3;595000;Yes;interior
Eixample;Sant Antoni;good condition;Flat;2;58; floor 2;319000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;140; floor 2;685000;Yes;exterior
Horta-Guinardó;Sant Genís dels Agudells;good condition;Penthouse;3;66; floor 14;199900;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;3;62; floor 2;220000;Yes;exterior
Nou Barris;la Guineueta;good condition;Penthouse;4;91; floor 12;353900;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;74; floor 4;279900;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;94; floor 6;479000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;2;130;ground floor;349000;No;interior
Sants-Montjuïc;Hostafrancs;good condition;Flat;3;70; floor 2;215000;Yes;interior
Sants-Montjuïc;la Marina de Port;good condition;Penthouse;3;110; floor 10;360000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;66; floor 6;270000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Penthouse;3;230; floor 8;1300000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;2;63; floor 6;450000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;125; floor 3;460000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;99; floor 6;360000;Yes;exterior
Les Corts;Pedralbes;good condition;Duplex;6;496; floor 5;3300000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;65; floor 1;250000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;3;70;mezzanine;219000;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;180; floor 4;895000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;120; floor 2;760000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;94; floor 2;319000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;House;11;773;Multiple;5700000;No;exterior
Eixample;Sant Antoni;good condition;Flat;3;94; floor 4;448000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;144; floor 2;599000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;121; floor 2;485000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;150; floor 1;1100000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;157; floor 1;1100000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;110; floor 1;598000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;2;138;ground floor;349000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;131; floor 1;970000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;4;150; floor 1;695000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;94; floor 1;239000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;1;77; floor 4;690000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;180; floor 2;530000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;2;73; floor 1;375000;No;exterior
Sant Andreu;Navas;good condition;Flat;4;91; floor 2;330000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;109; floor 1;500000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;3;100; floor 5;335000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;3;85; floor 5;475000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;145; floor 2;850000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;6;149; floor 1;575000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;3;102; floor 7;695000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;House;7;488;Multiple;2600000;No;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;House;5;310;Multiple;1590000;No;exterior
Sant Martí;el Poblenou;good condition;Penthouse;2;134; floor 14;1900000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;4;130; floor 19;1950000;Yes;interior
Les Corts;Pedralbes;good condition;Flat;5;212; floor 3;1595000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;House;3;256;Multiple;2300000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;4;222; floor 5;1690000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;House;4;284;Multiple;1950000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;4;185; floor 5;1190000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;4;80; floor 1;290000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;2;192;ground floor;622000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;1;52; floor 1;315000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;86; floor 2;299000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Flat;3;106; floor 6;299000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;100; floor 1;495000;No;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;93; floor 6;299000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;1;57; floor 2;268000;No;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;78; floor 1;360000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;110; floor 4;445000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;235; floor 4;1336000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;100; floor 2;435000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;99; floor 6;635000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;5;277; floor 5;1900000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;5;185; floor 8;1475000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;5;250; floor 2;1100000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;270; floor 1;1045000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;90; floor 4;680000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;80; floor 5;415000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;4;77; floor 3;180000;Yes;interior
Sant Martí;Provençals del Poblenou;good condition;Flat;4;79; floor 4;195000;Yes;exterior
Horta-Guinardó;Horta;good condition;Flat;4;70; floor 3;198000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;Flat;4;124; floor 2;590000;Yes;exterior
Gràcia;Vallcarca i els Penitents;good condition;Penthouse;3;140; floor 3;595000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;6;325; floor 2;1500000;Yes;exterior
Sant Andreu;Navas;good condition;Flat;3;79; floor 2;199500;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;65; floor 1;195000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;3;65; floor 4;225000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;2;65; floor 4;247000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;3;93; floor 6;385000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Penthouse;3;200; floor 4;2500000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;45; floor 2;162000;No;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;3;96; floor 3;375000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;3;210; floor 2;1620000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;181; floor 1;1095000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;182; floor 2;1400000;Yes;exterior
Les Corts;les Corts;good condition;Penthouse;3;97; floor 6;398000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Penthouse;3;125; floor 4;625000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;3;73; floor 1;218000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;58; floor 3;245000;Yes;exterior
Sant Andreu;la Sagrera;good condition;Flat;2;65;ground floor;155000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;95; floor 4;375000;Yes;exterior
Sant Andreu;Sant Andreu;good condition;Flat;2;73; floor 1;270000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;3;90; floor 7;359000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;2;71;mezzanine;292000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;1;51; floor 1;269000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;1;51; floor 2;295000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;1;64; floor 1;400000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;135; floor 1;745000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;4;139; floor 4;990000;Yes;exterior
Eixample;el Fort Pienc;good condition;Penthouse;5;175; floor 8;699000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;78; floor 5;238000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;House;4;178;Multiple;995000;No;exterior
Sant Andreu;Sant Andreu;good condition;House;3;75;Multiple;298000;No;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;3;67; floor 1;230000;Yes;interior
Sant Martí;el Besòs i el Maresme;good condition;Flat;4;91; floor 5;249000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;143; floor 1;700000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;100; floor 2;350000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;2;60; floor 2;350000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;2;70; floor 6;440000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;190; floor 3;1080000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;2;62;ground floor;244000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;5;350; floor 1;1595000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;113; floor 4;535000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;1;38; floor 4;139000;No;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;3;76; floor 2;135000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;4;325; floor 8;1886000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;5;665; floor 6;6250000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;5;331; floor 1;1290000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;86; floor 3;470000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;85; floor 3;485000;Yes;exterior
Les Corts;Pedralbes;good condition;Penthouse;5;371; floor 7;2000000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;72; floor 1;415000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;85; floor 3;485000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Detached;8;520;Multiple;3900000;No;exterior
Eixample;la Sagrada Família;good condition;Flat;4;95; floor 2;485000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;140; floor 1;795000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;318; floor 4;2500000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;69; floor 2;240000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;56; floor 3;200000;No;interior
Sant Andreu;la Sagrera;good condition;Flat;3;65; floor 2;195000;No;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;4;110; floor 1;279000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;2;70; floor 1;239000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;good condition;Flat;4;275; floor 1;450000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;196; floor 4;1150000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;94; floor 4;389000;Yes;exterior
