district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Horta-Guinardó;Horta;3;97;1;530000;0;5463
Ciutat Vella;el Barri Gòtic;2;86;1;470000;0;5465
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;86;1;470000;0;5465
Sant Martí;el Poblenou;3;73;1;399000;0;5465
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;160;1;875000;0;5468
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;320;1;1750000;0;5468
Sant Andreu;el Congrés i els Indians;1;51;1;279000;0;5470
Eixample;la Dreta de l'Eixample;4;136;1;745000;0;5477
Eixample;la Dreta de l'Eixample;4;136;1;745000;0;5477
Sant Martí;el Parc i la Llacuna del Poblenou;1;115;1;630000;0;5478
Sant Martí;el Camp de l'Arpa del Clot;4;94;1;515000;0;5478
Horta-Guinardó;la Font d'en Fargues;3;83;1;455000;0;5481
Eixample;l'Antiga Esquerra de l'Eixample;2;83;1;455000;0;5481
Gràcia;la Salut;3;91;1;499000;0;5483
Sant Martí;Provençals del Poblenou;2;72;1;395000;0;5486
Les Corts;les Corts;1;51;1;280000;0;5490
Sant Martí;el Parc i la Llacuna del Poblenou;1;118;1;648000;0;5491
Eixample;la Dreta de l'Eixample;2;69;1;379000;0;5492
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;6;304;1;1670000;0;5493
Sant Martí;el Parc i la Llacuna del Poblenou;1;105;1;577000;0;5495
Eixample;Sant Antoni;5;181;1;995000;0;5497
Sant Martí;el Parc i la Llacuna del Poblenou;1;81;1;445500;0;5500
Eixample;Sant Antoni;2;58;1;319000;0;5500
Sarrià-Sant Gervasi;el Putxet i el Farró;2;70;1;385000;0;5500
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;100;1;550000;0;5500
Eixample;la Dreta de l'Eixample;3;120;1;660000;0;5500
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;120;1;660000;0;5500
Eixample;la Sagrada Família;3;120;1;660000;0;5500
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;160;1;880000;0;5500
Les Corts;Pedralbes;4;180;1;990000;0;5500
Les Corts;Pedralbes;8;836;0;4600000;0;5502
Eixample;la Dreta de l'Eixample;3;138;1;760000;0;5507
Eixample;la Nova Esquerra de l'Eixample;4;118;1;650000;0;5508
Eixample;l'Antiga Esquerra de l'Eixample;4;125;1;689000;0;5512
Eixample;la Sagrada Família;2;68;1;375000;0;5514
Eixample;Sant Antoni;3;135;1;745000;0;5518
Sant Andreu;Navas;2;77;1;425000;0;5519
Eixample;l'Antiga Esquerra de l'Eixample;3;125;1;690000;0;5520
Sant Martí;el Camp de l'Arpa del Clot;2;48;1;265000;0;5520
Sant Martí;el Besòs i el Maresme;4;151;1;833900;0;5522
Sarrià-Sant Gervasi;el Putxet i el Farró;3;105;1;580000;0;5523
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;95;1;525000;0;5526
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;2;85;1;470000;0;5529
Eixample;la Sagrada Família;3;85;1;470000;0;5529
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;75;1;415000;0;5533
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;150;1;830000;0;5533
Ciutat Vella;el Raval;2;84;1;465000;0;5535
Sarrià-Sant Gervasi;el Putxet i el Farró;4;130;1;720000;0;5538
Ciutat Vella;el Raval;2;63;1;349000;0;5539
Eixample;Sant Antoni;3;126;1;698000;0;5539
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;1;83;1;460000;0;5542
Eixample;la Dreta de l'Eixample;3;90;1;499000;0;5544
Ciutat Vella;el Barri Gòtic;1;36;0;200000;0;5555
Horta-Guinardó;el Guinardó;1;45;1;250000;0;5555
Eixample;la Dreta de l'Eixample;2;63;0;350000;0;5555
Les Corts;Pedralbes;5;279;1;1550000;0;5555
Les Corts;Pedralbes;4;143;1;795000;0;5559
Les Corts;les Corts;3;71;1;395000;0;5563
Eixample;la Dreta de l'Eixample;3;142;1;790000;0;5563
Eixample;la Sagrada Família;3;97;1;540000;0;5567
Eixample;l'Antiga Esquerra de l'Eixample;3;79;1;440000;0;5569
Eixample;l'Antiga Esquerra de l'Eixample;3;79;1;440000;0;5569
Les Corts;Pedralbes;3;129;1;718500;0;5569
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;56;0;312000;0;5571
Sant Martí;el Poblenou;3;96;1;535000;0;5572
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;314;1;1750000;0;5573
Eixample;la Nova Esquerra de l'Eixample;2;52;0;290000;0;5576
Eixample;la Sagrada Família;2;78;1;435000;0;5576
Sant Andreu;Sant Andreu;2;69;1;385000;0;5579
Les Corts;les Corts;2;95;1;530500;0;5584
Les Corts;les Corts;2;95;1;530500;0;5584
Eixample;la Nova Esquerra de l'Eixample;2;94;1;525000;0;5585
Eixample;la Sagrada Família;2;68;1;380000;0;5588
Eixample;el Fort Pienc;3;85;1;475000;0;5588
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;5;170;1;950000;0;5588
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;4;170;1;950000;0;5588
Sarrià-Sant Gervasi;el Putxet i el Farró;4;178;0;995000;0;5589
Sarrià-Sant Gervasi;el Putxet i el Farró;4;178;0;995000;0;5589
Les Corts;Pedralbes;8;447;1;2500000;0;5592
Sant Martí;el Parc i la Llacuna del Poblenou;2;67;1;375000;0;5597
Eixample;la Dreta de l'Eixample;4;117;1;655000;0;5598
Les Corts;les Corts;4;100;1;560000;0;5600
Sant Martí;el Poblenou;2;76;1;426000;0;5605
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;123;1;690000;0;5609
Eixample;la Nova Esquerra de l'Eixample;3;106;1;595000;0;5613
Sants-Montjuïc;Sants;2;60;1;337000;0;5616
Nou Barris;Vilapicina i la Torre Llobeta;2;68;1;382500;0;5625
Eixample;la Sagrada Família;3;120;1;675000;0;5625
Eixample;Sant Antoni;2;230;1;1295000;0;5630
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;177;1;997000;0;5632
Gràcia;la Vila de Gràcia;3;79;1;445000;0;5632
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;142;1;800000;0;5633
Eixample;l'Antiga Esquerra de l'Eixample;3;133;1;750000;0;5639
Les Corts;les Corts;3;70;1;395000;0;5642
Sarrià-Sant Gervasi;les Tres Torres;4;140;1;790000;0;5642
Sant Martí;el Clot;2;62;1;350000;0;5645
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;155;1;875000;0;5645
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;85;1;480000;0;5647
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;177;1;1000000;0;5649
Ciutat Vella;el Raval;1;60;1;339000;0;5650
Sant Martí;la Vila Olímpica del Poblenou;1;63;1;356000;0;5650
Eixample;l'Antiga Esquerra de l'Eixample;3;230;1;1300000;0;5652
Sant Andreu;la Sagrera;3;104;1;588000;0;5653
Ciutat Vella;el Barri Gòtic;2;84;1;475000;0;5654
Ciutat Vella;el Raval;2;84;1;475000;0;5654
Ciutat Vella;el Raval;2;84;1;475000;0;5654
Ciutat Vella;el Barri Gòtic;5;175;1;990000;0;5657
Les Corts;Pedralbes;3;76;1;430000;0;5657
Ciutat Vella;el Barri Gòtic;2;106;1;600000;0;5660
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;75;1;425000;0;5666
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;150;1;850000;0;5666
